,comment,author,like
0,안녕하세요~ 저희엄마 이신돈여사님께서 운영하는 식당입니다. 어제 갑자기 손님들이 막 밀려들어와서 무슨 일인가 생각했는데 손님들께서 유튜브에 어떤분이 올려주셔서 왔다고 말씀하시더라구요. 엄마와 저는 어리둥절해서 어떤 감사한 분이 올려주셨을까? <br>누구지? 누구지? 고민했었어요. 궁금한건 못참는 저는 유튜브를 검색하고 들어와 봤는데 세상에 저희식당을 멋있게 맛있게 재미나게 올려주셔서 너무너무 감사합니다!! 덕분에 잘 알려지지 않는 골목귀퉁에 위치한 저희 식당에 많은 사람들이 와서 드시고갔습니다. 감사합니다!! ❤❤❤,샛별김,111
1,재밌게 보고 갑니다.다음달에 국민고시 준비하느라 시간이 없어도 김사원님의<br>맛깔나는 여행은 꼭 챙겨볼께요^^,어퓨굿맨,7
2,세끼형 왜이렇게 오랜만에 오신건가요ㅠㅠ한주의 활력소가 되는 영상 잘봤습니다ㅎㅎ세끼형이 소개해준 식당 방문하고 늘 만족하는 1인입니다ㅎㅎ,이요허호,34
3,왜 이런집은 우리 동네에 없는건가요ㅠㅠ가성비 좋은게 진짜 오지게 술땡기네요,xpu anubis,7
4,알람설정 울리자마자 달려와봤는데 12분 지각했다 볼 수 있구요.가격대비 양이 상당히 훌륭해서 사실상 돈 벌고 나오는 집이라 볼 수 있구요.버터부터 깔고 시작 하는 부분이 상당히 마음에 드는데 여수산 김치에 살발한 해물 퀄리티 오지는 제주도 돼지까지 살다살다 이런 삼합은 여기서 첨 본다 볼 수 있구요.마지막 디저트 볶음밥 까지 퍼펙트하다 볼 수 있구요.메뉴 구성이 완즈니 옹골찬게 이 영상 이후로 사실상 이가게 손님들로 박터질걸로 보시면 됩니다.<br>총평을 하자면 살발하게 손님들 몰리기전에 미리 방문해야 된다 보시면 됩니다.<br>오늘도 맛깔나는 영상 잘 봤습니다.,sorryhan,93
5,&quot;저 같은 경우에는 십 수 년간 집안에서 한 마리의 개와 함께 살았었기 때문...&quot;이라고 하실 줄 알았는데 &quot;... 별반 다름 없는 취급을 받고 살아 오셨다니... 🤣,비온뒤맑음,23
6,ㅠㅠㅠㅠㅠㅠ김치만 보고도 느껴지는 맛의기운<br>김사원세끼 맛집 따라다니는 게 낙입니다😄,yumi Heo,55
7,"저는 개 좋아해서 귀엽고 해서 방문해보고 싶네요😊 우와 해물 삼합이 저 정도면 혼자서 가더라도 방문해보고 싶은데요 정말로 가격도 합리적이고 맛있는 거 같아요<a href=""about:invalid#zCSafez""></a>",각궁이의 이색맛집GakgungTV,5
8,헉 건대 근처에사는데 부모님 모시고 꼭 가봐야겠네요! 오늘도 좋은 맛집 정보 감사합니다 👍,자양동사나이,2
9,여기 집앞인데 맛집맞아요 김치만 가지고 밥 두개찢었습니다. 꽃길이도 엄청 순하고 착하고 사장님도 친절하십니다,지성팔tv,23
10,"오늘도 ㅋㄷ,ㅋㄷ...김사원님의 감칠맛나는 음식소개에 침을 꼴딱~이번주말에 함 가봐야겠네요.😅",창밖풍경,0
11,크...김치 비쥬얼 살발합니다 전에 올려주셨던 맛집 친구들 데리고 갔더니 아주 대만족 하고 나왔습니다 믿먹입니다 ㅋㅋㅋ,졍구링,8
12,우리 집 주변도 삼합있어서 맛나게 먹는데 여긴 비쥬얼이 더 쩌네 가격도 더 착하고 ㄷㄷㄷ 서울인데 어찌 이런!!,이진구,0
13,와! 김치 진짜 살벌하네요 저런김치 요즘먹어본적이 없는데! 정말 멘트가 예술이시네요 ㅎㅎㅎㅎㅎㅎ,철희 지,4
14,기다리는 시간이 오래 걸려도 <br>제대로 먹을수있다면 기다림또한 축복이죠 <br>정말 맛있어 보이네요😭😭😭😭,슈가댄스맨,2
15,가까운 곳에 제가 좋아하는 재료로 구성된 삼합집이 있었네요. 조만간 방문해보고 소감 댓글로 남기도록 하겠습니다. 소개 감사합니다.,씨네씨떼,1
16,김사원님 쫒아다니며 맛집에 한잔하고프네여~~취저네여!!😍👍,절대미각,6
17,딱 봐도 재료가 신선해 보여요~~😊,홍선희,0
18,크... 슬슬 쌀쌀해지는 날씨에 맞춰 한껏 차분해진 사원님 목소리... 상당히 따스하다고 볼수있구여...,운좋은곰,4
19,해물삼합을 같이 기다려주는 치와와의 우정어린 훈훈함이 제 전립선까지 떨리게 만드네요,기마이,1
20,기다리는 시간 오지게 길면 치와와 간식 들고가서 놀면 되겠네용🤭,튜즈데이,13
21,이야 해물삼합 정말 소주안주네요. 너무 맛있겠습니다 군침이 돕니다! 맛있는 영상 감사합니다 오늘도 맛있게 ^_^ 꿀꺽!,꿀꺽아저씨 Ggoolgguk Uncle,1
22,버터라니... 사장님 진짜 배우신분이네요 ㅠㅠㅠ,이덤,1
23,김세끼+치와와+맛집의 삼합이 아주 완벽하네요,Traveler Jeon,2
24,나오는게 완즈니 이순신거북선 저리가라네요! <br>진짜 퀄리티 어마어마한데 여수산 김치들의 향연~ <br>진짜 산소호흡기 들고 방문해야겠네요!!,황사빠,1
25,이야 건대라면 가봐야겠네요. 이건 역대급이네요 잘봤습니다!!!,kkuk44,1
26,항상 재밌게보고 있습니다.<br>서울에 살진않지만..한번씩은 방문해보고 싶네요~^^,allbluesp,1
27,침고여요ㅠㅠ 조만간 꼭 한번 가보겠습니당ㅎㅎ치와와 넘 귀염ㅋㅋㅋㅋㅋ 기다리는동안 삼국지. 잠한숨 때려야하는 드립에 오늘도 빵 터지구 가여,J J,2
28,형님 오늘도 수지 타산이 맞나 싶을 정도의 퀄리티 높은 영상 잘 보고 갑니다<br>비록 삼합은 늦게 나올지라도 영상은 먼저 나와야 합니다 형님,hg L,0
29,구독은 이미 하고 있고에~ 항상 좋아욥니데이..ㅎㅎㅎ; 호주에도 이런 노포 레스토랑(?)들이 좀 들어왔으면 좋겠습니다..,Andy Yeonjong Kwon,2
30,저도 저희집에서 개를 담당하고 있는데 이거이거 내적 친밀감이 벌써부터 오지게 쌓이네요🙃,지나가는 길입니다,11
31,와 진심 양이 미쳤다…..이 영상을 왜 이시간에 봤을까요…운동하고 왔는데 배고파지네요ㅜㅜ,아침구름이,0
32,이번주 금요일에 처음으로 김사원님이 소개해주신 업장을 가보려고합니다. 알고보니 친구도 구독자라 죽이 잘맞아서 같이 갈거에요 ㅎㅎ,Epiphany,0
33,와 여기 인스타에 샤랄라쏘 언니가 올려서 유명해진집이죠 찐맛집!!!!!!!,술잔로드tv,3
34,이집은 무조건 떡상입니다<br>김사원씨 좋은일 많이 하네요<br>김사원세끼도 초기에 떡상 예측했자너 근대 벌써 거의 40만이네요,구승환,2
35,와 건너편 가게에 육사시미 먹으러가먼서 아무 생각없이 지나쳤던 가게인데 김사원 픽이네ㄷㄷ,Al Pacino,5
36,삼함먹고 가게 나올때 쯤되면 꽃길이랑 대화가능하겠네요 ㅎㅎㅎ 소주 3병이면 개언어 배우고 치와와 친구 만들수있는곳!<br>꽃길이 표정이 어서와 친구! 하네요 ^^,원다솔,4
37,사장님 이름걸고 하는집중에 불만족 스러웠던곳은 없던것 같네요ㅎㅎㅎ 오늘도 잘보고가요~,애커스,2
38,와 우리동네다!!! 꼭가봐야겠네요ㅎㅎㅎ 치와와 넘기여워요ㅎㅎ 좋은영상 항상 감사해요☺️,Gee,2
39,정말퀄리티가대박 좋은가게인것같습니다.<br>살발한리뷰였습니다 김사원님♡,최은경,0
40,맛있겠고 치와와 너무 귀엽다 진짜 ❤❤❤,sojung hong,0
41,건대 꿀단지 족발 돈쭐내주세요 ㅠㅠ 장사 잘되서 사장님 못때려치시게😭진짜 맛있는데 구석진곳에 박혀있어서 가는사람만 갑니다 ㅜㅜ,옥꿀,2
42,다음타자는 여기닷!<br>이 바로 앞에 육성회비만 오지게 갔는데 여기도 가봐야겠네용 감사욧,허허허허허,0
43,오랜만에 올리셨네요 귀여운 치와와 멍뭉이와 콜라보 잘 봤습니다. 뒷모습만 보이던데 ㅎㅎ 정말 살발하고 미친 가성비 킹왕짱 이네요. 맛있는 음식소개 재미난 멘트 감사합니다. 오늘도 지리고 자러 갑니다. 김사원 세끼 화이팅~!,꾸꾸,0
44,맛집안보고 멘트만들어도 오지게 재밋는부분임ㅋㅋㅋ,JK,0
45,엇 저 여기 저번달 주말에 다녀왔습니다<br>소주 3명이 12병까고 눈뜨니 다음날 집이었네요 완즈니 놀랍고 방갑네요 ^^,changyeopshin,17
46,-<i>- 오랜만에 올라와서 봤더니... 그 펜션 사장 아니구요 -</i>- 관악 조개집갔다가  대기하는 사람들이 김사원 뭐시기가 와서 더 길어졌다 들었구요  김경수 참치 후... 예약 진짜 2주전 아니면 어려운 그런집이더군요 그냥 맛집 좋아하는 광진구민 1인이어요,\,0
47,여수산 갓김치 진짜 미쳤다,송덕헌,1
48,어제 갔는데 진짜 사람 개많았음 여기서 김사원님의 화력을 보았습니다 ㅋㅋ 한시간 기다림 ㅜㅜ 워낙 오래걸리기도함,루이,0
49,와 여긴 꼭 가야해!!!,김병준,1
50,"사원님 주접 떨고싶어서 덧글 달아요, <br>방금 이신돈 가게 지나가는데 웨이팅 장난 없네요😮<br>이것이 사원님의 힘인가요…구독자로써 뿌듯합니다ㅎㅎㅎ",전 갱이,0
51,빠르고 오지게 달려와봤구요 역시 저의 살발한 기대를 져버리지 않았습니다,우또TV,84
52,김사원을보면 가고싶은곳이 엄청 많아짐 ㅠㅠ,김환이님,0
53,해물삼합에 미나리 가득 주시는거 보면 숙취 걱정은 안하셔도 될듯 합니다 ㅎㄹ 엠뷸런스는 이제 그만 타세요 😂😂,Jason KIM,1
54,🤤🤤퀄리티 대박..ㅋㅋㅋㅋㅋㅋㅋㅋ,얌꼬뀨,0
55,미쳤다 제 자취방에서 320미터 떨어진 곳이네요🤩🤩🤩,9 cw,0
56,김치가.지리네요 ㄷㄷ 치와와 넘 기여워서 가보고파여!,마럿,0
57,너무귀여워용.. 치와와도.. 사원님도..ㅎㅎ 삼합은 못참죵,Soowon Eom,0
58,지인이 어제 갔는데 웨이팅이 너무 길어 하는 수 없이 앞집가서 먹었대요..... 다 먹고 나왔는데도 웨이팅이 길었다는데요?! 김사원세끼님의 영향입니까..!ㄷㄷㄷ,귀여운소금,0
59,ㄹㅇ 맛있어보이네요,주냥그냥,1
60,30년째광진구 사는데 여기는처음이네요 ㅎㅎ맛집발굴감삼다,장재혁,0
61,여기 안그래도 손님없는데<br>방문해주셔서 감사합니다,진시황,2
62,우와 오늘은 정말로 살발하다. 거를 타선이 없네 ㅋㅋㅋㅋㅋㅋ,강남진,1
63,와ㅠㅠ 저도 치와와 키우는데 ㅎㅎㅎㅎㅎ 꼭 가볼게요 몽몽이보러🥰,고주신,1
64,크~ 이신돈 사장님 완즈니 해물삼합 달인이시네요<br>예약하기 힘들다는 댓글들 강하게 검거 하십시오ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,회오리형제-술먹방 tornado brothers,0
65,앗...세끼님이 저희 동네에...<br>어쩐지 많이 보던 곳이라 했더니 <br>아쉽네용~항상 잘 보고 있습니다. 감사합니다.,시크한그녀.,0
66,바쁘면 직접 구워야할거 같아 여기서 예습복습하겠습니다,황소자리,0
67,어? 우리집 근처네여? ㅋㅋㅋ 하지만 전 몰랐다는~비쥬얼 걔껴네요 진짜!! 먹고 싶어 죽겠습돠!! 침질질~이거는 무조건 박상철~,nice one sonny,0
68,캬  해물삼합 내공 지려보이네요,배돈충,2
