id,restoAge,thumbnail,address,name,sectors,locationX,locationY,phoneNumber,menu1,menu2,grade,terrace,drinking,meal,lunch,dinner,cost_effective,classy,mood,noisy,quiet,real_local,etc
226,2012,https://d12zq4w4guyljn.cloudfront.net/20220930045853949_photo_fa9e10bbe65d.jpg,서울특별시 마포구 서교동 396-58,대포막창,한식,126.9174697,37.54893322,02-322-3928,납짝생막창,소막창,TEN,0,3,1,0,3,2,0,0,2,0,0,"숨은맛집,캐주얼한,지역주민이 찾는,주차불가,"
316,2012,https://pup-review-phinf.pstatic.net/MjAyMjEwMDFfNCAg/MDAxNjY0NjAwODY5MjI3.DCexCEU8bBSk0znvVU7eSWxcmoiyEPMUQhujTaZOEX8g.6BTy2pdIsM_R_Umf5f2eqYJtnU-280gGzlDC-ipETWog.JPEG/86EF57F1-EAC6-4238-BD75-5F136E144DA5.jpeg,서울 서대문구 연희로15길 27 라이라이 1층,라이라이,중식,126.9304371,37.56859015,0507-1311-3203,칠리가지,유니짜장,TEN,0,0,0,0,0,0,0,0,0,0,0,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울먹방,먹방데이트,서울노포,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,화상노포,서울 중국집 맛집,간짜장 맛집,화상 노포,서울 짜장 맛집,짜장면 맛집,짜장면,간짜장,노포 간짜장,동대문구 중국집,서대문구 중국집,연희동 중국집,연희동 노포,화상 중국집,연희동 맛집,서대문구 맛집,"
336,2012,https://d12zq4w4guyljn.cloudfront.net/20220816112812003_photo_LE3SlMc9KkvW.jpg,서울특별시 강서구 마곡동 326-2,마곡오리,한식,126.822962,37.57262085,02-3662-5292,논두렁 주물럭 대,논두렁 주물럭 중,TEN,0,3,2,0,4,3,0,0,3,0,0,"가족외식,회식,지역주민이 찾는,캐주얼한,무료주차,"
452,2012,https://d12zq4w4guyljn.cloudfront.net/20200218075343581_photo_5VOII70t9YBd.jpg,서울특별시 서대문구 합동 21-27,밀양돼지국밥,한식,126.9671678,37.56202295,02-362-0247,국밥,수육 소,TEN,0,0,0,3,1,6,0,0,0,0,0,"데이트,혼밥,숨은맛집,주차불가,"
529,2012,https://d12zq4w4guyljn.cloudfront.net/20220420092715_photo1_FzYHfCybclvu.jpg,서울특별시 도봉구 방학동 585,북청 생고기,한식,127.0208395,37.66264623,02-3491-7360,목살,삼겹살,TEN,0,1,0,1,3,2,0,0,1,0,3,"가족외식,캐주얼한,무료주차,"
570,2012,https://d12zq4w4guyljn.cloudfront.net/20220912050904_photo1_6ab9be9d5ed6.jpg,서울특별시 서초구 서초동 1571-30,삼산회관,한식,127.0124005,37.49194639,02-588-1571,돼지김치구이(소) 2인분,돼지김치구이(중)3인분,TEN,6,8,5,7,8,15,0,0,4,0,3,"데이트,배달,가족외식,아이동반,회식,혼밥,기념일,실버푸드,아침식사,깔끔한,숨은맛집,캐주얼한,이국적/이색적,무료주차,주차불가,"
641,2012,https://d12zq4w4guyljn.cloudfront.net/20200112054155_photo1_f60aed3bfb20.jpg,서울특별시 성동구 성수동1가 656-318,성수아구찜,한식,127.0458911,37.5455689,02-465-4346,"아귀탕, 아귀찜 각 소","아귀탕, 아귀찜 각 중",TEN,0,2,2,2,2,3,0,0,2,0,0,"가족외식,회식,숨은맛집,캐주얼한,"
825,2012,https://pup-review-phinf.pstatic.net/MjAyMjA3MjBfMTU2/MDAxNjU4Mjg2NTAwMzAy.WUW_g-P2BPbDt23FXct1opqNB3RuiSnkPQEQZKddhCcg.1HtQn2O_MvpHFp1-Yu7WV-_xcXbmXl6W9VKPDIWPCbsg.JPEG/upload_0ac5a48d90848434f30220a36a67b417.jpeg,서울 동작구 신대방2동 361-38,영덕물회막회,일식,126.9237141,37.49817468,02-888-5296,물회,막회,TEN,0,0,0,0,0,0,0,0,0,0,0,"서울 횟집 맛집,서울 선어회 맛집,가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,서울 회 맛집,회,회 맛집,물회,동작구 맛집,신대방동 맛집,동작구 노포,보라매 맛집,보라매역 맛집,7호선 맛집,물회 노포,서울 물회 맛집,"
879,2012,https://d12zq4w4guyljn.cloudfront.net/20220514103657_photo1_e55fe9c410c3.jpg,서울특별시 서대문구 연희동 188-69,오향만두,분식,126.930175,37.56693433,02-323-3749,찐만두,고기만두,TEN,0,4,2,3,3,8,0,0,2,0,1,"간식,아이동반,혼밥,회식,가족외식,데이트,실버푸드,캐주얼한,숨은맛집,지역주민이 찾는,"
882,2012,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/50507/53393/50507_53393_73_0_1233_201611203025207.jpg,서울특별시 성동구 옥수동 314-10,옥정김밥,김밥(도시락),127.0155446,37.54348756,02-2297-5646,(한우)소곱창모듬,,TEN,0,0,0,2,2,2,0,0,0,0,0,"아침식사,혼밥,간식,지역주민이 찾는,숨은맛집,"
