id,resto_age,thumbnail,address,resto_name,sectors,location_x,location_y,phone_number,menu1,menu2,terrace,drinking,meal,lunch,dinner,cost_effective,classy,mood,noisy,quiet,real_local,etc
0,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA4MjlfNTEg%2FMDAxNjMwMjI4NTM1MDc4.G9wOqVTVxb5Y622NUfmKsulpEHsALqjBL3MKt6vTewsg.BSxYHU-twZmpcfc7W1YB33ru6yO6cLqzO6zAkry8tjEg.JPEG.apexism%2F20210814_184814.jpg,서울 강동구 천호동 397-399,오징어참치,일식,127.1312758,37.54217467,,활어모듬회,,,,,,,,,,,,,"서울 횟집 맛집,서울 선어회 맛집,가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,서울 회 맛집,강동구,강동구 맛집,암사역,암사동,암사 맛집,암사역 맛집,암사동 맛집,천호동 맛집,천호역 맛집,천호 맛집,"
1,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA3MDZfMTQ0%2FMDAxNjI1NTM5MTE2MDk5.8dLM5bURPwKDYxm1pO-o5wGvt-WWhO4rcFxx4R96ShYg.Vx8ixSPwcrI_AUJXiUPxYRFRIWTcKKuUtxiAbDVxq7Ig.JPEG.holysandy%2Foutput_3660743681.jpg,서울 동대문구 전농로 30-1,장원닭한마리,한식,127.0571312,37.56747535,02-2244-2334,대: 2.5마리,,,,,,,,,,,,,"가성비 맛집,노포식당,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,서울노포,오래된 맛집,오래된 집,오래된 가게,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,서울 고기 맛집,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,볶음밥 맛집,볶음밥,닭한마리,닭한마리맛집,동대문구맛집,답십리맛집,중구맛집,종각맛집,닭1마리,동대문구 노포,답십리 노포,"
2,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA0MTRfMjYy%2FMDAxNjE4Mzg5NzY3MDgz.TaHst7b65rXSQ7xOf4hN8S8_ttEzeZ99DUAZVqX4z6Ag.pput0OLbFWYQ7zzRC9SgUSoa9JDlD2s-UftiTZKpfyUg.JPEG.babadaily%2F67.jpg,서울 강남구 논현로164길 30,호남식당,한식,127.0306276,37.52288935,02-515-5657,제육쌈밥,김치찌개,,,,,,,,,,,,"서울 횟집 맛집,서울 선어회 맛집,가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,강남 맛집,압구정,압구정 노포,압구정역 맛집,청담 맛집,압구정 로데오,압구정 로데오 맛집,삼겹살,백반,백반 맛집,묵은지 돼지찜,"
3,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA5MDdfNzMg%2FMDAxNjYyNTM0NjExMzE0.4GaPqlliXD1rFvnDcYjJ0VWBPfyrQKmWcCdo4riHzQ0g.F0SngmMSDfwu6xC8crWysIcv0H689M9TswLSNYroiQ0g.JPEG.nyj090922%2FIMG_2223.jpg,서울 동대문구 장한로27가길 28 1층 남도보쌈파전,남도보쌈파전,한식,127.0712912,37.57432539,0507-1327-3236,보쌈 대,생굴회,,,,,,,,,,,,"가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,장안동,장안동 맛집,답십리 맛집,답십리,동대문구 맛집,김치,김치 맛집,굴보쌈 맛집,보쌈김치,보쌈김치 맛집,보쌈,밑반찬 맛집,밑반찬,"
4,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA2MzBfMjUg%2FMDAxNjU2NTkyODU0NjU0.fS6yd9JTJzxsuyVHvwnvHVQgVNsJY-01ykja10t8WmIg.GyN4fwbhdTJznOf1MZZkpJ6NE_dudAYEHBDB5SCq00og.JPEG.zzniee%2FIMG_3329.jpg,서울 성동구 하왕십리동 970-50,토상막회,일식,127.031939,37.56190661,02-2298-7067,세꼬시,광어,,,,,,,,,,,,
5,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA2MjJfMjcx%2FMDAxNjU1OTA5MTYxOTQx.IyQD2xklqd8S3sQz1ff-S3So9bB1o4DKCiTprSxYLfUg.yS3EDx9--TaDrekHMxV_5sHbJSQudsu5sSRdM14muNMg.JPEG.easyutopia%2FIMG_4380.jpg,서울 관악구 신림동 1410-17,서울갈비,한식,126.9335955,37.48498242,02-885-7610,우삼겹,생삼겹살,,,,,,,,,,,,"가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,서울 갈비 맛집,갈비집,서울 갈비 가성비,갈비 노포,서울 갈비 노포,소갈비,된장찌개 맛집,영등포구 맛집,찐맛집,관악구 맛집,신림동 맛집,신림 맛집,신림역 맛집,노포,우삼겹,우삼겹 맛집,우삼겹맛집,"
6,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjA2MjdfMjcy%2FMDAxNjU2MzMwMjI2NDcw.dQ3z1LY2qSJjsiubZaY-6OJd2CrJLy5x3ZJ8COVQypMg.-2k6mPqRAgdbCy3fw0NYAdxCX9a2d3Q_XE4p9fPw6sEg.JPEG.rlaalswlkmg%2FIMG_2431.jpg,서울 서대문구 남가좌1동 291-45,1. 신흥떡볶이,한식,126.9157238,37.56942471,,떡볶이,신라면,,,,,,,,,,,,"서울 떡볶이 맛집,서울 떡볶이 투어,서울 3대 떡볶이,서울 5대 떡볶이,생활의 달인 떡볶이 서울,떡볶이 성지,떡볶킹,떡볶퀸,떡지순례,서대문구 맛집,서대문구 노포,서대문구 떡볶이,가좌역 맛집,가좌역 노포,가좌역 떡볶이집,송파구 노포,송파 맛집,문정역 맛집,문정동 떡볶이,문정역 골목 떡볶이,백종원 맛집,백종원 3대천왕 떡볶이,떡볶이 맛집,떡볶이,중랑구 맛집,면목역 맛집,망우역 맛집,망우역 떡볶이 맛집,서촌 맛집,경복궁 맛집,노량진 맛집,동작구 맛집,동작구 노포,노량진 떡볶이,노량진 떡볶이 맛집,"
7,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMTVfMjMx%2FMDAxNjA4MDE1NzMxNDU0.ybWXBMaUEG3KP1jNh3MocEiAjpJZa-2p55f5qH8EaPIg.mTJlUaqNQV8PgYqWV0TrS6tDPSnGY49P-jESUOWt-vwg.JPEG.jsrjsn%2FIMG_8697.jpg,서울 용산구 이촌로75길 16-9,한길포장마차,한식,126.9747838,37.52073939,02-796-6162,해산물모둠,꼼장어,0,9,1,0,4,8,0,0,3,0,1,"회식,가족외식,실버푸드,데이트,캐주얼한,숨은맛집,깔끔한,지역주민이 찾는,주차불가,노포식당,노포 맛집,노포집,노포 식당,노포 소문난식당,인스타맛집,이촌동 맛집,동부이촌동,해물포차,포장마차 먹방,포장마차 국수,포장마차 닭발,노포감성,감성식당,이영자 맛집 추천,이영자 맛집,이촌동,꼼장어,꼼장어 맛집,새우전,서울 가성비 맛집,서울 해산물 맛집,이촌역,용산구 맛집,"
8,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEwMjRfMjEx%2FMDAxNjAzNTA2NDY2MzI0.09U-J_g0oRzyavhISLhha3Nc9XAf5RzQaPHcHbS8ZZ8g.9PGauIWPxX1tkNiY_avdjXP4GaUaToQb3VK4I4hfJa0g.JPEG.yulha516%2Foutput_3801493660.jpg,서울 강북구 수유동 산17-1,인수재,한식,127.002622,37.64633927,02-994-2355,갈매기살,해장국,1,1,1,3,1,5,0,0,1,0,0,"데이트,가족외식,아침식사,경관/야경이좋은,숨은맛집,이국적/이색적,노포식당,노포래퍼,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울먹방,먹방데이트,서울노포,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,술먹방,가성비 맛집,가심비 맛집,갓성비 맛집,서울 가성비,인수재,청화가든,수유 맛집,수유역 맛집,강북구 맛집,갈매기살 맛집,두부 맛집,손두부,수유 노포,수유 노포식당,수유동 맛집,수유동 노포,"
9,notf,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEyMjdfOTgg%2FMDAxNTQ1OTE5MTY5MDIy.LkqFUEXSBTaqX31ehB6lQrshsvRuo9yrxIl3bnfpNyEg.tUWmM3TAD12EQGtCfdUbSsy2lRfu2fAEWu2jpVG7WT8g.JPEG.ppjjss1123%2F20181228075753_IMG_3969.JPG,서울 용산구 원효로2가 84-1 1층 곰배령이야기,곰배령이야기,한식,126.9617155,37.5357936,02-715-6225,육회,육개장칼국수,,,,,,,,,,,,"노포식당,노포래퍼,노포 맛집,노포집,노포 식당,서울맛집,서울 맛집,서울먹방,먹방데이트,서울노포,맛집소개,맛집소개 유튜버,맛집 유튜버,서울 맛집 유튜버,서울 맛집 소개,술먹방,가성비 맛집,가심비 맛집,갓성비 맛집,서울 가성비,서울 곱창 맛집,서울 곱창 가성비,곱창 가성비,곱창 맛집,용산 맛집,곰배령,곰배령 이야기,곱창 전골 맛집,육회 맛집,한우 육회,한우 육회 맛집,한우 곱창,한우 곱창 맛집,용산구 맛집,용문동,용문동 맛집,효창공원,효창공원 맛집,"
