,resto_age,thumbnail,address,resto_name,sectors,location_x,location_y,phone_number,menu1,menu2,tag
0,notf,https://d12zq4w4guyljn.cloudfront.net/20220905012837_photo1_R0cOVCZJNhBq.jpg,서울특별시 종로구 청진동 183-1,"
청진옥
",notf,126.979477427822,37.5717392795208,02-735-1690,해장국(보통),해장국(특),"{'점심식사': 41, '저녁식사': 40, '혼밥': 23, '술모임': 17, '식사모임': 14, '아침식사': 14, '혼술': 12, '가족외식': 6, '실버푸드': 6, '남자끼리': 4, '회식': 3, '접대': 3, '아이동반': 3, '해장': 2, '여자끼리': 1, '모임': 1, '다이어트식단': 1, '포장': 1, '데이트': 1, '서민적인': 38, '시끌벅적한': 20, '푸짐한': 14, '캐주얼한': 13, '깔끔한': 6, '지역주민이찾는': 5, '가성비좋은': 4, '오래된집': 4, '토속적인': 3, '중년이상이많은': 3, '지역주민이 찾는': 3, '조용한': 2, '숨은맛집': 2, '수요미식회': 1, '격식있는': 1, '빈티지': 1, '허름한': 1, '노포': 1, '무료주차': 14, '24시간영업': 9, '좌식': 1, '주차불가': 1, '대형룸': 1, '주차는 문의': 1, '발렛주차': 1}"
1,notf,https://d12zq4w4guyljn.cloudfront.net/20220207083612_photo1_311569ff0135.jpg,서울특별시 종로구 종로3가 167,"
계림
",notf,126.994503560646,37.5701570757924,02-2263-6658,닭도리탕(소),닭도리탕(중),"{'저녁식사': 35, '술모임': 19, '점심식사': 17, '식사모임': 13, '가족외식': 10, '회식': 9, '데이트': 8, '기념일': 2, '서민적인': 34, '시끌벅적한': 19, '푸짐한': 11, '숨은맛집': 9, '캐주얼한': 5, '가성비좋은': 4, '지역주민이찾는': 3, '줄서서먹는': 1, '깔끔한': 1, '무료주차': 3, '주차불가': 1, '포장가능': 1, '야외좌석': 1}"
2,notf,https://d12zq4w4guyljn.cloudfront.net/20220815032324_photo1_6c7510d6698c.jpg,서울특별시 종로구 내자동 11-1,"
서촌계단집
",notf,126.971491367314,37.5763365687299,02-737-8412,참소라,돌문어,"{'술모임': 31, '저녁식사': 17, '데이트': 9, '회식': 8, '식사모임': 4, '소라': 1, '모임': 1, '해물라면': 1, '실버푸드': 1, '시끌벅적한': 30, '서민적인': 22, '지역주민이찾는': 5, '푸짐한': 4, '캐주얼한': 3, '숨은맛집': 3, '허름한': 2, '가성비좋은': 1, '오래된집': 1, '지역주민이 찾는': 1, '아담한': 1, '불친절!!!': 1, '깔끔한': 1, '이국적/이색적': 1, '현장대기필요': 3, '주차불가': 1}"
3,notf,https://d12zq4w4guyljn.cloudfront.net/20220522065703_photo1_VQqJSCTzFQ7q.jpg,서울특별시 종로구 부암동 258-3,"
계열사
",notf,126.965607398142,37.5928857946428,02-391-3566,후라이드치킨,닭도리탕,"{'저녁식사': 25, '술모임': 17, '데이트': 13, '점심식사': 12, '식사모임': 10, '회식': 6, '가족외식': 6, '간식': 5, '아이동반': 4, '실버푸드': 1, '모임': 1, '배달': 1, '기념일': 1, '야식': 1, '서민적인': 16, '시끌벅적한': 12, '캐주얼한': 12, '깔끔한': 6, '지역주민이찾는': 6, '지역주민이 찾는': 5, '푸짐한': 3, '숨은맛집': 3, '빈티지': 1, '아담한': 1, '복고풍': 1, '허름한': 1, '오래된집': 1, '경관/야경이좋은': 1, '주차불가': 5, '포장가능': 1, '대형룸': 1}"
4,notf,https://d12zq4w4guyljn.cloudfront.net/20220728054826_photo1_3e6ae56e9fed.jpg,서울특별시 종로구 돈의동 131,"
영춘옥
",notf,not found,not found,02-765-4237,꼬리곰탕,곰탕,"{'저녁식사': 21, '점심식사': 21, '혼밥': 17, '술모임': 14, '식사모임': 12, '가족외식': 8, '회식': 8, '아침식사': 7, '혼술': 6, '데이트': 3, '남자끼리': 2, '실버푸드': 2, '접대': 2, '아이동반': 2, '국물': 1, '모임': 1, '배달': 1, '여자끼리': 1, '야식': 1, '서민적인': 24, '시끌벅적한': 16, '숨은맛집': 8, '지역주민이 찾는': 8, '가성비좋은': 6, '지역주민이찾는': 5, '푸짐한': 4, '캐주얼한': 4, '깔끔한': 3, '중년이상이많은': 3, '오래된집': 3, '토속적인': 2, '조용한': 2, '노포의': 1, '아주 오래된': 1, '허름한': 1, '규모가큰': 1, '젊은사람이많은': 1, '24시간영업': 8, '주차불가': 3, '현장대기필요': 1, '주차는 알아서': 1, '포장가능': 1}"
5,notf,https://d12zq4w4guyljn.cloudfront.net/20220817140947_photo1_c040717d8728.jpg,서울특별시 종로구 명륜2가 225,"
나누미 떡볶이
",notf,126.997884669335,37.5837271508938,02-747-0881,쌀떡볶이,김밥,"{'간식': 20, '저녁식사': 15, '점심식사': 14, '혼밥': 12, '데이트': 3, '식사모임': 2, '가족외식': 2, '디저트': 1, '새벽': 1, '야식': 1, '배달심부름': 1, '아이동반': 1, '서민적인': 26, '지역주민이찾는': 12, '캐주얼한': 11, '시끌벅적한': 9, '가성비좋은': 6, '숨은맛집': 6, '지역주민이 찾는': 5, '푸짐한': 2, '허름한': 1, '아담한': 1, '24시간영업': 7, '주차불가': 3}"
6,notf,https://d12zq4w4guyljn.cloudfront.net/20210930051108_photo1_5b502b20f463.jpg,서울특별시 종로구 관철동 11-11,"
황소고집
",notf,126.986137903871,37.5685851438392,02-722-5747,고추장불고기백반,돼지고기두루치기,"{'점심식사': 28, '저녁식사': 18, '식사모임': 7, '술모임': 5, '혼밥': 4, '데이트': 3, '가족외식': 2, '다이어트식단': 1, '아침식사': 1, '남자끼리': 1, '실버푸드': 1, '계모임': 1, '회식': 1, '여자끼리': 1, '서민적인': 27, '가성비좋은': 15, '시끌벅적한': 10, '숨은맛집': 5, '푸짐한': 4, '지역주민이 찾는': 4, '지역주민이찾는': 3, '캐주얼한': 2, '허름한': 1, '오래된집': 1, '깔끔한': 1, '주차불가': 5}"
7,notf,https://d12zq4w4guyljn.cloudfront.net/20220801061838437_photo_9fffeb4d8564.jpg,서울특별시 종로구 낙원동 221,"
유진식당
",notf,126.988306486944,37.5720318660283,02-764-2835,설렁탕,돼지머리국밥,"{'점심식사': 24, '혼밥': 20, '저녁식사': 19, '술모임': 10, '데이트': 8, '혼술': 7, '식사모임': 5, '가족외식': 4, '실버푸드': 3, '간식': 1, '낮술': 1, '다이어트식단': 1, '아침식사': 1, '서민적인': 26, '시끌벅적한': 13, '가성비좋은': 13, '지역주민이 찾는': 8, '숨은맛집': 6, '지역주민이찾는': 5, '캐주얼한': 3, '오래된집': 2, '아담한': 2, '허름한': 2, '푸짐한': 1, '중년이상이많은': 1, '이국적/이색적': 1, '주차불가': 4, '야외좌석': 2, '노포': 1, '유료주차장이용': 1}"
8,notf,https://d12zq4w4guyljn.cloudfront.net/20220101074849769_photo_c10fa390751e.jpg,서울특별시 종로구 관수동 42,"
삼해집 종로점
",notf,126.990990680675,37.569885930656,02-2273-0266,굴보쌈 대,고기보쌈 대,"{'저녁식사': 23, '술모임': 18, '식사모임': 10, '회식': 9, '데이트': 6, '점심식사': 3, '가족외식': 2, '남자끼리': 2, '실버푸드': 1, '여자끼리': 1, '모임': 1, '서민적인': 22, '시끌벅적한': 21, '가성비좋은': 13, '푸짐한': 8, '숨은맛집': 4, '지역주민이찾는': 3, '오래된집': 2, '캐주얼한': 2, '중년이상이많은': 2, '아재감성': 1, '젊은사람이많은': 1, '지역주민이 찾는': 1, '허름한': 1, '토속적인': 1, '주차불가': 2, '좌식': 1, '새벽까지 영업': 1, '예약필요': 1}"
9,notf,https://d12zq4w4guyljn.cloudfront.net/20220805103857695_photo_48e1edae67e6.jpg,서울특별시 종로구 견지동 88,"
이문설렁탕
",notf,126.983892954493,37.5727344828923,02-733-6526,설농탕,설농탕 (특),"{'점심식사': 23, '저녁식사': 16, '혼밥': 15, '아침식사': 9, '가족외식': 5, '술모임': 4, '식사모임': 4, '혼술': 3, '데이트': 3, '실버푸드': 3, '남자끼리': 2, '여자끼리': 1, '아이동반': 1, '서민적인': 15, '시끌벅적한': 8, '푸짐한': 3, '깔끔한': 2, '캐주얼한': 2, '숨은맛집': 2, '중년이상이많은': 2, '규모가큰': 2, '가성비좋은': 2, '오래된집': 2, '조용한': 1, '허름한': 1, '지역주민이 찾는': 1, '전통있는': 1, '경관/야경이 좋은': 1, '지역주민이찾는': 1, '노포': 1, '무료주차': 3, '대형룸': 2, '개별룸': 2, '유료주차': 1, '주차장없음': 1, '좌식': 1}"
