번호,인허가일자,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,영업장주변구분명
1,19911231,서울특별시 동작구 흑석동 163-16 ,서울특별시 동작구 서달로15길 24 (흑석동),정직한김치찌개,한식,196563.622819007    ,445177.914162337    ,한식,주택가주변
2,19911231,서울특별시 종로구 돈의동 123번지 ,서울특별시 종로구 돈화문로5가길 15 (돈의동),전주골갈비,한식,199163.20444984     ,452128.836958606    ,한식,기타
3,19911230,서울특별시 노원구 중계동 512번지 시영2단지상가 지하5호,"서울특별시 노원구 동일로208길 34, 지하5호 (중계동, 시영2단지상가)",대통이네,한식,205805.621561106    ,460041.339536101    ,한식,아파트지역
4,19911230,서울특별시 중구 주교동 66-0번지 ,서울특별시 중구 창경궁로8길 22-4 (주교동),시골집,한식,199864.770855245    ,451810.630237584    ,한식,기타
5,19911228,서울특별시 강남구 역삼동 704-55번지 ,서울특별시 강남구 선릉로93길 34 (역삼동),혜정식당,한식,203990.524103674    ,444721.596056096    ,한식,유흥업소밀집지역
6,19911228,서울특별시 영등포구 양평동1가 1-4번지 ,서울특별시 영등포구 영등포로18길 10 (양평동1가),징기스칸양념치킨,분식,190344.410648217    ,446550.806650833    ,분식,주택가주변
7,19911228,서울특별시 마포구 합정동 395-4번지 1층 ,"서울특별시 마포구 포은로 25 (합정동,1층)",동평원,중국식,191822.889591465    ,449758.966171434    ,중국식,주택가주변
8,19911228,서울특별시 서대문구 창천동 52-65번지 2층 ,"서울특별시 서대문구 연세로7안길 21, 2층 (창천동)",다모토리투,경양식,194236.62077408     ,450637.207091847    ,경양식,학교정화(상대)
9,19911227,서울특별시 송파구 방이동 64-1 지하1층 ,"서울특별시 송파구 오금로11길 14, 지하1층 (방이동)",올리 7080 라이브,경양식,209550.894135301    ,445815.81193271     ,경양식,기타
10,19911227,서울특별시 강서구 화곡동 831-10번지 (지상 2층) ,"서울특별시 강서구 등촌로5길 100 (화곡동,(지상 2층))",청풍,한식,187372.662557273    ,447848.974921577    ,한식,주택가주변
11,19911227,서울특별시 마포구 아현동 326-28번지 ,서울특별시 마포구 신촌로34길 25-4 (아현동),호남식당,한식,195937.548282074    ,450431.765328517    ,한식,기타
12,19911227,서울특별시 종로구 관철동 7-5번지 ,서울특별시 종로구 삼일대로17길 8 (관철동),장수촌 풍천장어,분식,198797.140043517    ,451887.51214766     ,분식,유흥업소밀집지역
13,19911226,서울특별시 강남구 신사동 511-19 ,서울특별시 강남구 도산대로1길 16 (신사동),취향의공간,한식,201704.99454463     ,446163.187114606    ,한식,주택가주변
14,19911226,서울특별시 서초구 서초동 1585-18번지 동정빌딩 105호,"서울특별시 서초구 효령로 259, 105호 (서초동, 동정빌딩)",함경순대,한식,201034.136026022    ,442483.278213495    ,한식,주택가주변
15,19911226,서울특별시 서초구 양재동 327-3번지 ,서울특별시 서초구 동산로 10 (양재동),시크릿,호프/통닭,203552.203018543    ,440775.291119782    ,호프/통닭,기타
16,19911226,서울특별시 서초구 서초동 1451-34번지 ,서울특별시 서초구 반포대로 22 (서초동),선궁,중국식,201055.049081675    ,442298.468220422    ,중국식,주택가주변
17,19911226,서울특별시 서초구 양재동 268-4번지 ,서울특별시 서초구 언남11길 34-14 (양재동),미락,한식,203798.505878475    ,441520.552940109    ,한식,기타
18,19911226,서울특별시 영등포구 대림동 864-8번지 ,서울특별시 영등포구 디지털로61길 1 (대림동),부추순대국,한식,191352.471458193    ,443363.11666066     ,한식,주택가주변
19,19911226,서울특별시 용산구 보광동 263-3번지 (지상1층) ,"서울특별시 용산구 보광로14길 18 (보광동,(지상1층))",죠스식당,경양식,199973.844989392    ,447235.260325313    ,경양식,기타
20,19911226,서울특별시 용산구 용문동 25-14번지 1층 ,"서울특별시 용산구 새창로 122-1, 1층 (용문동)",아라비어펍,분식,196455.391200457    ,448257.172488719    ,분식,기타
21,19911226,서울특별시 중구 을지로6가 18-45번지 ,,헤븐,경양식,,,경양식,기타
22,19911226,서울특별시 종로구 명륜4가 19-1번지 ,서울특별시 종로구 대학로 133-2 (명륜4가),뚜레쥬르,경양식,200061.458443727    ,453422.56799711     ,경양식,기타
23,19911224,서울특별시 동대문구 신설동 98-15번지 1층 ,"서울특별시 동대문구 왕산로2길 19, 1층 (신설동)",참숯불구이,한식,202177.18063447     ,452577.685005126    ,한식,주택가주변
24,19911223,서울특별시 강동구 성내동 413-9번지 ,서울특별시 강동구 풍성로 215 (성내동),참토우,식육(숯불구이),211930.227626187    ,447447.098850166    ,식육(숯불구이),기타
25,19911223,서울특별시 서초구 양재동 68 ,서울특별시 서초구 바우뫼로33길 7-4 (양재동),할매보쌈,한식,203231.170748902    ,441763.231276312    ,한식,주택가주변
26,19911223,서울특별시 관악구 신림동 1669-11번지 지상1층 ,"서울특별시 관악구 조원중앙로 6, 1층 (신림동)",진천칼국수,분식,191494.104541209    ,442029.171025043    ,분식,주택가주변
27,19911223,"서울특별시 구로구 구로동 604-1 구로공구상가 C-11,12 ",,남정,한식,189277.761702183    ,444671.551731639    ,한식,기타
28,19911223,"서울특별시 강서구 등촌동 648-11 지상 2층, 201~202호 ","서울특별시 강서구 공항대로59가길 10, 2층 201~202호 (등촌동)",정일품삼계탕,한식,187938.049710623    ,449973.422668778    ,한식,기타
