id,terrace,drinking,meal,lunch,dinner,cost_effective,classy,mood,noisy,quiet,real_local,tags
1,0,0,0,0,0,0,0,0,0,0,0,"새벽까지영업하는,저녁에만영업하는"
2,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
3,0,8,5,3,7,7,0,0,5,0,3,"회식,가족외식,데이트,아침식사,배달,혼밥,캐주얼한,숨은맛집,24시간영업,"
4,0,0,0,0,0,0,0,0,0,0,0,"연인과같이가면좋은,술한잔하기좋은,인테리어가좋은,새벽까지영업하는,저녁에만영업하는"
5,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,점심뷔페를하는,연중무휴"
6,0,1,5,8,8,5,0,0,1,0,4,"가족외식,혼밥,데이트,회식,숨은맛집,캐주얼한,깔끔한,무료주차,근처공영주차장,"
7,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,회식하기좋은,프라이빗룸이있는"
8,0,2,0,1,2,1,0,0,1,0,1,"혼밥,데이트,캐주얼한,숨은맛집,지역주민이 찾는,"
9,0,0,1,15,9,38,0,0,11,0,5,"간식,혼밥,데이트,배달,야식,길거리,모임,아침식사,가족외식,아이동반,여자끼리,브런치,간단한식사,숨은맛집,캐주얼한,아담한,이국적/이색적,깔끔한,토속적인,재미있는,지역주민이 찾는,허름한,오래된집,중년이상이많은,주차불가,현장대기필요,"
10,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,역사가오래된
13,0,0,1,6,3,7,0,0,2,0,1,"숨은맛집,주차불가,"
14,0,0,0,0,0,0,0,0,0,0,0,"24시간영업하는,아침을먹을수있는"
15,0,0,0,0,0,0,0,0,0,0,0,가족과외식하기좋은
16,0,1,1,1,2,4,0,0,2,0,1,"캐주얼한,"
17,0,8,2,5,7,14,0,0,2,1,4,"가족외식,혼밥,아침식사,배달,회식,캐주얼한,숨은맛집,이국적/이색적,깔끔한,지역주민이 찾는,주차불가,"
18,0,0,1,1,2,1,0,0,0,0,1,아침을먹을수있는
19,0,0,0,0,0,0,0,0,0,0,0,"숙성회 맛집,선어회 맛집,서울 숙성회 맛집,서울 횟집 맛집,서울 선어회 맛집,가성비 맛집,서울맛집,서울 맛집,서울 가성비 맛집,서울먹방,먹방데이트,가성비 숙성회 맛집,숙성회 가성비,가성비 숙성회,맛집 소개,맛집 소개 유튜버,서울 맛집 유튜버,서울 맛집 소개,맛집소개,맛집소개 유튜버,맛집 유튜버,술먹방,가심비 맛집,갓성비 맛집,서울 가성비,서울 회 맛집,숙성회,광진구 맛집,건대 맛집,건대입구 맛집,건대입구역 맛집,참치 맛집,참치회 맛집,참다랑어,혼마구로 맛집,참치 가성비,서울 참치 가성비 횟집,"
20,0,1,1,4,4,7,0,0,1,1,0,"혼밥,데이트,모임,오래된집,지역주민이 찾는,허름한,무료주차,발렛주차,24시간영업,"
21,0,0,0,4,2,4,0,0,1,0,0,"아침식사,혼밥,지역주민이 찾는,숨은맛집,해장용,무료주차,주차할인,주차지원,"
22,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,연인과같이가면좋은,회식하기좋은,연중무휴"
23,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,역사가오래된,프라이빗룸이있는"
24,0,0,0,0,0,0,0,0,0,0,0,"역사가오래된,낮에만영업하는"
25,0,2,4,8,6,2,2,0,2,0,1,"가족외식,데이트,혼밥,아이동반,다이어트식단,아침식사,남자끼리,기념일,회식,깔끔한,격식있는,규모가큰,지역주민이 찾는,캐주얼한,중년이상이많은,경관/야경이 좋은,가게앞 3대 정도,교회주차장이용,무료주차,개별룸,역사가오래된"
26,0,0,0,0,0,0,0,0,0,0,0,"저녁에만영업하는,프라이빗룸이있는"
27,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,역사가오래된"
28,0,0,0,0,0,0,0,0,0,0,0,"남자끼리,가족외식,회식,여자끼리,허름한,오래된집,가족과외식하기좋은,회식하기좋은"
29,0,0,0,3,3,6,0,0,0,0,0,"혼밥,아침식사,숨은맛집,지역주민이 찾는,주차불가,"
30,0,0,0,0,0,0,0,0,0,0,0,"가족과외식하기좋은,역사가오래된,외국인접대에좋은"
31,0,3,0,0,5,4,0,0,2,0,1,"가족외식,무료주차,주차불가,"
